,latitude,longitude,name
13411,-23.3333,-51.1333,Londrina Aeroporto
13415,-23.0,-47.1333,Campinas Aeroporto
13417,-22.7833,-45.2,Guaratingueta
13572,-22.2,114.1,Learmonth
13601,-22.9167,139.9,Boulia
13606,-23.4,144.3,Longreach
13756,-21.55,-64.7,Tarija
13757,-21.95,-63.65,Yacuiba
13774,-21.9833,-47.3333,Pirassununga
13842,-21.7,21.65,Ghanzi
13848,-21.2167,27.5,Francistown
13855,-22.0,35.3167,Vilanculos
13868,-21.45,47.1,Fianarantsoa
13870,-21.2,48.3667,Mananjary
14088,-13.75,-76.2833,Pisco
14104,-20.5333,-70.1833,Iquique / Diego Arac
14203,-19.9833,23.4167,Maun
14213,-20.2,32.6167,Chipinge
14214,-19.8,34.9,Beira
14234,-20.8833,55.5167,Saint-Denis / Gillot
14319,-20.7,139.5,Mount Isa
14326,-20.0,146.3,Charters Towers
14330,-21.2,149.2,Mackay Racecourse
14387,-17.55,-149.6167,Tahiti-Faaa
14473,-19.55,-65.7333,Potosi
14476,-20.0,-63.5333,Camiri
14570,-20.0667,30.8667,Masvingo
14577,-17.8833,36.8833,Quelimane
14586,-19.8167,47.0667,Antsirabe
14657,-20.4,118.6,Port Hedland
14672,-19.6,134.2,Tennant Creek
14682,-20.7,143.1,Richmond
14708,-19.5333,169.25,Burtonfield Tanna
14805,-12.0,-77.1167,Lima-Callao / Aerop. Internacional Jorgechavez
14827,-18.3333,-70.3333,Arica
14830,-17.9667,-67.0667,Oruro
14836,-17.8,-63.1833,Santa Cruz / El Trompillo
14837,-17.8,-60.7333,San Jose De Chiquitos
14838,-18.3167,-59.7667,Robore
14840,-18.9833,-57.8167,Puerto Suarez
14931,-19.1167,33.4667,Chimoio
14948,-18.1167,49.4,Tamatave
15045,-19.2,146.8,Townsville
15187,-18.0667,-70.3,Tacna
15191,-17.4167,-66.1833,Cochabamba
15282,-17.8167,25.15,Kasane
15288,-17.9167,31.1333,Harare Kutsaga
15308,-17.0833,49.8167,Sainte-Marie Aerodrome
15379,-18.0,122.2,Broome Port
15396,-17.7,139.5,Burketown Airport
15435,-18.05,178.5667,Nausori
15523,-9.1667,-78.5167,Chimbote
15548,-16.5167,-68.1833,La Paz / Alto
15554,-16.15,-62.0167,Concepcion
15555,-16.3833,-60.9667,San Ignacio De Velasco
15642,-17.8167,25.8167,Livingstone
15661,-16.75,44.4833,Besalampy
15745,-16.6,128.5,Argyle
15783,-16.4167,167.8,Lamap Malekula
15803,-14.3333,-170.7167,Pago Pago / Int. Airport
15903,-16.3167,-71.55,Arequipa
15905,-15.4833,-70.15,Juliaca
15908,-14.8667,-66.8667,San Borja
15910,-14.8167,-64.9167,Trinidad
15911,-15.7167,-63.1,Ascencion De Guarayos
16021,-15.6667,46.35,Majunga
16026,-14.8833,50.25,Antalaha
16104,-15.8,128.7,Kununurra Airport
16140,-15.5167,167.2167,Pekoa Airport Santo
16265,-14.7333,-68.5,Apolo
16356,-15.25,23.15,Mongu
16446,-8.75,115.1667,Denpasar / Ngurah-Rai
16602,-6.7833,-79.8333,Chiclayo
16621,-13.55,-71.9833,Cuzco
16625,-14.4667,-67.5667,Rurrenabaque
16721,-14.45,28.4667,Kabwe
16725,-13.55,32.5833,Chipata
16737,-12.8,45.2833,Dzaoudzi / Pamanzi Mayotte
16743,-14.2833,50.1667,Sambava
16811,-9.6667,120.3333,Waingapu / Mau Hau
16830,-14.0,136.5,Groote Eylandt Airport
16857,-13.85,167.55,Sola Vanua Lava
16866,-12.5,177.05,Rotuma
16963,-8.1,-79.0333,Trujillo
16977,-13.1333,-74.2167,Ayacucho
16983,-12.6333,-69.2,Puerto Maldonado
16987,-13.0667,-64.8167,San Joaquin
16988,-13.3333,-64.1167,Magdalena
17087,-13.3,35.2333,Lichinga
17092,-12.9833,40.5333,Pemba
17099,-13.3167,48.3167,Fascene Nossi-Be
17101,-12.35,49.3,Diego-Suarez
17189,-12.3,136.8,Gove Airport
17343,-11.0333,-68.7833,Cobija
17344,-11.0,-66.1167,Riberalta
17351,-12.7,-60.1,Vilhena Aeroporto
17434,-11.75,24.4333,Mwinilunga
17438,-11.6667,27.4833,Lubumbashi-Luano
17447,-10.6833,35.5833,Songea
17542,-12.4,130.9,Darwin Airport
17553,-12.6,142.1,Scherger
17694,-9.9,-75.75,Huanuco
17801,-10.2167,31.1333,Kasama
17879,-7.7333,109.0167,Cilacap
18041,-4.5667,-81.25,Talara
18051,-9.35,-77.6,Anta Huaraz
18103,-3.85,-32.4167,Fernando De Noronha
18134,-8.85,13.2333,Luanda
18169,-10.2667,40.1833,Mtwara
18252,-10.1667,123.6667,Kupang / El Tari
18268,-8.4667,140.3833,Merauke / Mopah
18412,-9.1333,-75.95,Tingo Maria
18413,-8.4167,-74.6,Pucallpa
18436,-8.25,-49.2833,Conceicao Do Araguaia
18450,-9.4,-38.2167,Paulo Afonso
18605,-8.4333,117.4167,Sumbawa Besar / Sumbawa Besar
18610,-8.6333,122.25,Maumere / Wai Oti
18617,-7.9833,131.3,Saumlaki
18769,-7.1333,-78.4667,Cajamarca
18770,-7.2167,-76.7167,Juanjui
18775,-7.6333,-72.6667,Cruzeiro Do Sul
18950,-5.2667,105.1833,Telukbetung / Beranti
18963,-8.5333,116.0667,Ampenan / Selaparang
19130,-6.45,-76.3833,Tarapoto
19145,-5.8167,-61.3,Manicore
19171,-7.1,-34.8667,Joao Pessoa
19245,-6.8667,39.2,Dar Es Salaam Airport
19316,-6.9833,110.3833,Semarang / Ahmadyani
19318,-7.2167,112.7167,Surabaya / Perak
19344,-6.1,140.3,Tanah Merah / Tanah Merah
19483,-5.1833,-80.6,Piura
19487,-6.2167,-77.8333,Chachapoyas
19489,-5.9,-76.0833,Yurimaguas
19516,-5.35,-49.15,Maraba
19598,-5.0833,32.8333,Tabora Airport
19600,-6.1667,35.7667,Dodoma
19604,-6.2167,39.2167,Zanzibar / Kisauni
19615,-4.6667,55.5167,Seychelles International Airport
19668,-3.8833,102.3333,Bengkulu / Padangkemiling
19692,-3.7,128.0833,Ambon / Pattimura
19850,-3.75,-73.25,Iquitos
19856,-4.1667,-69.95,Leticia / Vasquez Cobo
19881,-5.05,-42.8167,Teresina Aeroporto
19919,4.4167,-7.3667,Tabou
19921,4.8667,-2.2333,Axim
19935,-4.8167,11.9,Pointe-Noire
19940,-4.3833,15.4333,Kinshasa / N'Djili
20058,-3.6667,133.75,Kaimana / Utarom
20062,-4.0667,138.95,Wamena / Wamena
20230,-3.2,-52.2,Altamira
20289,-0.7,8.75,Port-Gentil
20297,-3.9833,13.9167,Mouyondzi
20298,-4.25,15.25,Brazzaville / Maya-Maya
20300,-3.3,17.35,Bandundu
20322,-4.0333,39.6167,Mombasa
20324,-3.2333,40.1,Malindi
